Stock,Fiscal Period,Quarterly Diluted Normalized EPS Score,Quarterly Diluted Normalized EPS % Change,Quarterly Diluted Normalized EPS Sign,Quarterly Revenue Score,Quarterly Revenue % Change,Quarterly Revenue Sign,Quarterly Gross Profit Score,Quarterly Gross Profit % Change,Quarterly Gross Profit Sign,Annual Diluted Normalized EPS Score,Annual Diluted Normalized EPS % Change,Annual Diluted Normalized EPS Sign,Annual Revenue Score,Annual Revenue % Change,Annual Revenue Sign,Annual Gross Profit Score,Annual Gross Profit % Change,Annual Gross Profit Sign
LIN,1,0,-3.51,P,4,7.5,P,4,9.5,P,0,-15.19,P,4,90.27,P,4,99.17,P
LIN,2,2,10.03,P,0,-5.37,P,0,-4.77,P,0,-2.33,P,2,30.62,P,2,16.88,P
LIN,3,0,-4.22,P,0,-4.82,P,1,0.1,P,1,6.92,P,1,7.82,P,1,6.35,P
SHW,1,4,17.41,P,4,11.26,P,4,11.15,P,4,22.26,P,4,2.09,P,4,8.32,P
SHW,2,2,70.88,P,2,11.03,P,2,16.89,P,2,7.88,P,2,17.02,P,2,10.41,P
SHW,3,0,-2.52,P,1,0.78,P,0,-0.23,P,1,13.67,P,1,26.39,P,1,13.47,P
APD,1,4,9.07,P,4,12.34,P,4,4.62,P,4,4.33,P,0,-0.7,P,4,1.86,P
APD,2,0,-4.22,P,0,-6.82,P,0,-4.75,P,2,3.23,P,0,-0.13,P,2,7.4,P
APD,3,0,-2.07,P,0,-1.7,P,0,-1.55,P,1,17.83,P,1,9.07,P,1,12.5,P
ECL,1,4,67.91,P,4,12.4,P,4,16.85,P,4,7.08,P,4,1.62,P,4,2.46,P
ECL,2,0,-33.55,P,0,-11.09,P,0,-17.75,P,2,18.56,P,2,6.02,P,2,3.94,P
ECL,3,0,-35.09,P,0,-21.0,P,0,-18.58,P,1,7.47,P,1,5.2,P,1,2.56,P
DD,1,4,113.39,P,4,5.55,P,4,10.87,P,0,-28.26,P,0,-4.79,P,4,2.25,P
DD,2,0,-10682.18,N,0,-7.53,P,0,-19.23,P,2,51090.38,P,2,93.57,P,2,244.94,P
DD,3,0,-102.92,N,1,0.33,P,1,5.96,P,0,-99.98,P,0,-75.76,P,0,-79.9,P
NEM,1,4,48.56,P,4,34.04,P,4,45.45,P,4,135.07,P,4,34.29,P,4,43.83,P
NEM,2,0,-21.48,P,0,-8.37,P,2,4.64,P,0,-42.14,P,0,-1.71,P,0,-4.73,P
NEM,3,1,10.22,P,0,-13.01,P,0,-17.18,P,1,50.59,P,1,10.46,P,1,12.75,P
DOW,1,4,317.74,P,4,16.26,P,4,80.4,P,0,-72.7,P,0,-13.41,P,0,-26.21,P
DOW,2,0,-155.8,N,0,-14.49,P,0,-51.17,P,2,424.05,P,2,13.43,P,2,15.58,P
DOW,3,1,185.21,P,0,-4.25,P,1,3.36,P,0,-89.47,P,0,-9.19,P,0,-29.65,P
FCX,1,4,132.36,P,4,26.1,P,4,65.2,P,0,-121.31,N,0,-22.69,P,0,-75.2,P
FCX,2,2,136.12,P,2,9.15,P,2,284.13,P,2,79.12,P,2,13.56,P,2,17.99,P
FCX,3,0,-79.94,N,0,-28.46,P,0,-165.11,N,1,176.88,P,1,10.61,P,1,172.44,P
PPG,1,4,98.08,P,4,22.22,P,4,26.45,P,4,3.17,P,0,-1.48,P,4,2.42,P
PPG,2,0,-16.8,P,0,-10.72,P,0,-11.17,P,0,-6.59,P,2,4.24,P,0,-2.57,P
PPG,3,0,-6.23,P,0,-8.03,P,0,-5.86,P,1,8.21,P,1,3.35,P,0,-0.55,P
CTVA.N,1,0,-139.85,N,0,-64.11,P,0,-76.04,P,4,111.12,P,0,-3.09,P,4,21.48,P
CTVA.N,2,2,159.06,P,2,31.22,P,2,40.01,P,0,-187.57,N,2,1.39,P,0,-25.18,P
CTVA.N,3,1,1544.5,P,1,32.62,P,1,66.21,P,1,290.87,P,1,1.4,P,1,3.31,P
LYB,1,4,49.18,P,4,22.18,P,4,36.66,P,0,-20.27,P,0,-10.97,P,0,-15.66,P
LYB,2,0,-38.36,P,0,-25.99,P,2,3.66,P,2,18.23,P,2,13.11,P,2,0.4,P
LYB,3,0,-31.3,P,0,-8.38,P,0,-45.35,P,1,11.59,P,1,18.16,P,1,7.5,P
VMC,1,0,-3.05,P,0,-0.96,P,0,-4.04,P,4,14.11,P,4,12.46,P,4,14.07,P
VMC,2,2,247.46,P,2,26.05,P,2,96.57,P,2,77.74,P,2,12.66,P,2,10.81,P
VMC,3,0,-51.64,P,0,-11.54,P,0,-31.17,P,0,-25.08,P,1,8.28,P,1,0.47,P
NUE,1,0,-33.39,P,0,-50.48,P,0,-50.14,P,0,-44.15,P,0,-9.89,P,0,-36.92,P
NUE,2,2,42.97,P,2,76.94,P,2,60.06,P,2,117.14,P,2,23.77,P,2,65.33,P
NUE,3,1,31.56,P,1,9.6,P,1,42.89,P,1,43.08,P,1,24.95,P,1,27.0,P
MLM,1,4,34.98,P,4,4.0,P,4,6.31,P,4,28.23,P,4,11.66,P,4,21.98,P
MLM,2,2,734.73,P,2,32.6,P,2,167.21,P,2,4.6,P,2,7.03,P,0,-0.55,P
MLM,3,0,-80.0,P,0,-12.93,P,0,-44.93,P,1,9.29,P,1,3.85,P,1,6.93,P
CE,1,4,67.12,P,4,18.27,P,4,35.12,P,0,-6.24,P,0,-11.99,P,0,-18.56,P
CE,2,0,-42.94,P,0,-18.29,P,0,-30.46,P,2,22.43,P,2,16.53,P,2,30.51,P
CE,3,1,115.17,P,1,1.96,P,1,10.13,P,1,16.5,P,1,13.94,P,1,7.54,P
FMC,1,0,-32.81,P,0,-6.12,P,0,-10.77,P,0,-14.26,P,4,7.57,P,4,6.88,P
FMC,2,0,-4.6,P,0,-7.58,P,0,-6.91,P,2,120.49,P,2,48.87,P,2,77.01,P
FMC,3,1,259.78,P,1,4.4,P,1,0.99,P,1,97.36,P,1,13.38,P,1,18.27,P
ALB,1,4,9.1,P,0,-2.25,P,4,8.87,P,4,4.06,P,4,6.35,P,4,2.23,P
ALB,2,0,-12.07,P,2,3.41,P,0,-3.86,P,2,14.67,P,2,9.86,P,2,10.86,P
ALB,3,0,-10.2,P,0,-25.56,P,0,-28.32,P,1,34.32,P,1,14.75,P,1,14.41,P
EMN,1,4,74.96,P,4,10.29,P,4,35.04,P,0,-11.21,P,0,-8.65,P,0,-9.88,P
EMN,2,0,-55.85,P,0,-14.15,P,0,-35.7,P,2,12.74,P,2,6.3,P,2,4.91,P
EMN,3,1,62.29,P,1,1.63,P,1,16.1,P,1,1.76,P,1,6.01,P,1,0.25,P
IFF,1,0,-54.06,P,0,-50.2,P,0,-49.95,P,4,6.3,P,4,29.23,P,4,25.56,P
IFF,2,2,71.8,P,2,88.97,P,2,85.15,P,0,-19.52,P,2,17.03,P,2,14.28,P
IFF,3,1,24.28,P,1,4.95,P,1,12.69,P,1,14.91,P,1,9.06,P,1,5.51,P
MOS,1,0,-60.99,P,4,16.47,P,4,38.17,P,0,-103.54,N,0,-7.1,P,0,-40.12,P
MOS,2,2,134.34,P,2,13.71,P,2,520.77,P,2,51.11,P,2,29.39,P,2,77.79,P
MOS,3,0,-7.44,N,0,-13.4,P,0,-48.7,P,1,20.29,P,1,3.44,P,1,4.05,P
CF,1,0,-111.83,N,0,-29.65,P,0,-75.07,P,4,55.47,P,4,3.64,P,4,28.03,P
CF,2,2,211.67,P,2,24.0,P,2,71.08,P,2,413.54,P,2,7.24,P,2,111.29,P
CF,3,0,-6.43,P,0,-7.44,P,0,-10.13,P,0,-5300.84,N,1,12.08,P,0,-48.52,P
